category	file	line	code
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/logistics/siphon/SiphonBlockEntity.java	36	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/logistics/siphon/SiphonBlockEntity.java	83	if (cap == ForgeCapabilities.FLUID_HANDLER) return tank.getCapability().cast();
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/logistics/siphon/SiphonBlockEntity.java	89	containedFluidTooltip(tooltip, isPlayerSneaking, getCapability(ForgeCapabilities.FLUID_HANDLER));
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/oil/pumpjack/PumpjackBlockEntity.java	41	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/oil/pumpjack/PumpjackBlockEntity.java	127	if (cap == ForgeCapabilities.FLUID_HANDLER && (side == null || (PumpjackBlock.getFacing(getBlockState()).getAxis() != si
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/oil/pumpjack/PumpjackBlockEntity.java	207	return containedFluidTooltip(tooltip, isPlayerSneaking, getCapability(ForgeCapabilities.FLUID_HANDLER));
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/ProcessingPonderScenes.java	75	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/ProcessingPonderScenes.java	607	scene.world().modifyBlockEntity(basin, BasinBlockEntity.class, be -> be.getCapability(ForgeCapabilities.FLUID_HANDLER).i
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/ageing/AgeingBarrelBlockEntity.java	40	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/ageing/AgeingBarrelBlockEntity.java	170	if (cap == ForgeCapabilities.FLUID_HANDLER) {
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/ageing/AgeingBarrelBlockEntity.java	172	} else if (cap == ForgeCapabilities.ITEM_HANDLER) {
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/centrifuge/CentrifugeBlockEntity.java	67	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/centrifuge/CentrifugeBlockEntity.java	485	if (cap == ForgeCapabilities.FLUID_HANDLER) {
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/cooler/CoolerBlockEntity.java	48	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/cooler/CoolerBlockEntity.java	258	if (cap == ForgeCapabilities.FLUID_HANDLER && side == Direction.DOWN) {
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/distillation/BubbleCapBlockEntity.java	49	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/distillation/BubbleCapBlockEntity.java	320	if (cap == ForgeCapabilities.FLUID_HANDLER) {
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/dynamo/DynamoBlockEntity.java	45	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/dynamo/DynamoBlockEntity.java	212	IFluidHandler fluidHandler = basin.getCapability(ForgeCapabilities.FLUID_HANDLER).orElse(null);
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/dynamo/DynamoBlockEntity.java	277	IItemHandler availableItems = basin.getCapability(ForgeCapabilities.ITEM_HANDLER).orElse(null);
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/glassblowing/BlowpipeItem.java	46	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/glassblowing/BlowpipeItem.java	122	LazyOptional<IFluidHandler> cap = be.getCapability(ForgeCapabilities.FLUID_HANDLER, face);
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/glassblowing/BlowpipeItem.java	264	if (cap != ForgeCapabilities.FLUID_HANDLER_ITEM) return LazyOptional.empty();
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/treetap/TreeTapBlockEntity.java	22	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/processing/treetap/TreeTapBlockEntity.java	101	if (cap == ForgeCapabilities.FLUID_HANDLER) return fluidCapability.cast();
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/tool/SprayBottleItem.java	22	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/content/tool/SprayBottleItem.java	76	LazyOptional<IItemHandler> invCap = blockSource.getEntity().getCapability(ForgeCapabilities.ITEM_HANDLER);
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/ElementTankBlockEntity.java	27	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/ElementTankBlockEntity.java	66	if (cap == ForgeCapabilities.FLUID_HANDLER) return tank.getCapability().cast();
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/IMixtureStorageItem.java	36	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/IMixtureStorageItem.java	138	LazyOptional<IFluidHandler> fluidCap = be.getCapability(ForgeCapabilities.FLUID_HANDLER, face);
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/IMixtureStorageItem.java	159	InteractionResult result = item.tryEmpty(context.getItemInHand(), (ItemMixtureTank)context.getItemInHand().getCapability
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/IMixtureStorageItem.java	176	InteractionResult result = item.tryFill(stack, (ItemMixtureTank)stack.getCapability(ForgeCapabilities.FLUID_HANDLER_ITEM
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/IMixtureStorageItem.java	198	return itemStack.getCapability(ForgeCapabilities.FLUID_HANDLER_ITEM).map(tanks -> tanks.drain(getCapacity(itemStack), Fl
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/IMixtureStorageItem.java	202	itemStack.getCapability(ForgeCapabilities.FLUID_HANDLER_ITEM).ifPresent(tanks -> tanks.fill(fluidStack, FluidAction.EXEC
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/ItemMixtureTank.java	16	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/ItemMixtureTank.java	65	if (cap != ForgeCapabilities.FLUID_HANDLER_ITEM) return LazyOptional.empty();
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/PlaceableMixtureTankBlock.java	21	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/PlaceableMixtureTankBlock.java	36	be.getCapability(ForgeCapabilities.FLUID_HANDLER).ifPresent(fluidHandler -> {
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/PlaceableMixtureTankBlock.java	58	return be.getCapability(ForgeCapabilities.FLUID_HANDLER).map(fluidHandler -> {
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/SimpleMixtureTankBlockEntity.java	25	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/SimpleMixtureTankBlockEntity.java	71	if (cap == ForgeCapabilities.FLUID_HANDLER) {
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/measuringcylinder/MeasuringCylinderBlockItem.java	37	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/measuringcylinder/MeasuringCylinderBlockItem.java	55	LazyOptional<IFluidHandlerItem> cap = stack.getCapability(ForgeCapabilities.FLUID_HANDLER_ITEM);
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/measuringcylinder/TransferFluidC2SPacket.java	17	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/measuringcylinder/TransferFluidC2SPacket.java	66	LazyOptional<IFluidHandlerItem> cap = stack.getCapability(ForgeCapabilities.FLUID_HANDLER_ITEM);
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/testtube/TestTubeRackBlock.java	34	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/testtube/TestTubeRackBlock.java	128	return tubeStack.getCapability(ForgeCapabilities.FLUID_HANDLER_ITEM).orElse(null);
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/testtube/TestTubeRackBlockEntity.java	30	import net.minecraftforge.common.capabilities.ForgeCapabilities;
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/chemistry/storage/testtube/TestTubeRackBlockEntity.java	52	if (cap == ForgeCapabilities.ITEM_HANDLER) return lazyItemHandler.cast();
ForgeCapabilities	port/wip/petrolpark/mc/destroy/core/explosion/mixedexplosive/SimpleDyeableNameableMixedExplosiveBlockEntity.java	35	import net.minecraftforge.common.capabilities.ForgeCapabilities;
